martin_var,kind,from,to
D_OLY,pulse,2004Q4,
D_AFC1,pulse,1997Q3,
D_AFC2,pulse,1997Q4,
D_AFC3,pulse,1998Q1,
D_AFC4,pulse,1998Q2,
D_AFC5,pulse,1998Q3,
D_GSTMAR,pulse,2000Q1,
D_GSTJUN,pulse,2000Q2,
D_GSTSEP,pulse,2000Q3,
D_GSTDEC,pulse,2000Q4,
D_IBRE_1,pulse,1999Q4,
D_IBRE_2,pulse,2001Q4,
D_IBRE_3,pulse,2002Q1,
D_IBRE_4,pulse,2002Q2,
D_IBRE_5,pulse,2002Q3,
D_LE,pulse,2003Q2,
D_RBAGOLD,pulse,1997Q2,
D_2008Q4,pulse,2008Q4,
PIBRE_DUM1,pulse,2000Q4,
PIBRE_DUM2,pulse,2001Q1,
PIBRE_DUM3,pulse,2001Q2,
PIBRE_DUM4,pulse,2001Q3,
D_OLYX,tristate,2000Q3,2000Q4
D_CPMCG,range_lt,,2000Q2
D_NSP,range_gt_lt,1997Q4,2008Q1
DUM_RC,range_lt,,2008Q1
LUR_DUM,range_ge,2031Q4,
RTWI_CONST_DUM,range_gt,2031Q4,
PC_TREND,trend_carry,1982Q1,2022Q2
PID_TREND,trend_carry,1982Q1,2022Q2
PXM_TREND,trend_carry,1986Q1,2000Q4
XS_TREND,trend_carry,1959Q3,2001Q3
TADP,trend_carry,1959Q3,2011Q4
PIBN_TREND_1,counter_carry,1985Q1,2012Q4
PIBN_TREND_2,counter_carry,2013Q1,2022Q2
POTC_TREND_1,counter_carry,1992Q1,2007Q4
POTC_TREND_2,counter_carry,2008Q1,2022Q2
PXS_TREND_1,counter_carry,1986Q1,2000Q4
PXS_TREND_2,counter_carry,2001Q1,2022Q2
WPX_TREND_1,counter_carry,1980Q1,2000Q4
WPX_TREND_2,counter_carry,2001Q1,2022Q2
NHFA_TREND,range_gt_lt,2003Q2,2007Q3
