"variable","unit","h0","h1","h2","h4","h8","h12","h16","h20"
"ATS","pct_deviation",0,0,0,0,0,0,0,0
"DFD","pct_deviation",0.18251,0.14357,0.1424,0.10033,0.04127,0.03793,0.0379,0.03656
"DFDX","pct_deviation",0.15333,0.12026,0.11942,0.08438,0.03401,0.03109,0.0309,0.0295
"DPFD","pct_deviation",0.00256,0.01246,0.01223,-0.0203,-0.05832,-0.03766,-0.01863,-0.00721
"G","pct_deviation",0.73997,0.5606,0.56194,0.4949,0.38748,0.29884,0.23804,0.19167
"GC","pct_deviation",1.00502,0.73344,0.73627,0.63948,0.48975,0.38031,0.2971,0.2324
"GI","pct_deviation",0,0.02913,0.02706,0.02245,0.00923,0.0131,0.01655,0.01683
"GNE","pct_deviation",0.18225,0.14413,0.14227,0.1,0.04098,0.03791,0.03803,0.03652
"HCOE","pct_deviation",0.0233,0.05906,0.08035,0.09734,0.07248,0.0564,0.05238,0.04888
"HDY","pct_deviation",-0.00059,0.02377,0.03734,0.07405,0.08943,0.05653,0.04082,0.03607
"HNW","pct_deviation",0.00436,-0.00076,-0.03921,-0.18684,-0.4021,-0.33469,-0.25177,-0.19694
"HOY","pct_deviation",-0.05724,-0.06543,-0.07161,0.01668,0.13638,0.05686,0.01206,0.0055
"IAD","pct_deviation",0.10174,0.10424,0.11501,0.08662,0.03818,0.02667,0.02346,0.02001
"IB","pct_deviation",-4e-05,0.07242,0.10849,0.05356,-0.02448,-0.02561,-0.01804,-0.01309
"IBCR","pct_deviation",0.23222,0.6075,0.84823,0.72908,0.00076,0.00408,0.10278,0.11031
"IBCTR","pct_deviation",0,0,0,0,0,0,0,0
"IBN","pct_deviation",0,0.10222,0.16047,0.07774,-0.03056,-0.01788,-0.00302,-0.00045
"IBNDR","pct_deviation",0,0,0,0,0,0,0,0
"IBNDRA","pct_deviation",0,0,0,0,0,0,0,0
"IBRE","pct_deviation",-0.00013,0.00745,0.01043,0.00635,-0.01788,-0.03283,-0.03524,-0.03112
"IBREDR","pct_deviation",0,0,0,0,0,0,0,0
"ID","pct_deviation",0,-0.02387,-0.09406,-0.34316,-0.49316,-0.22995,-0.08265,-0.00876
"IDDR","pct_deviation",0,0,0,0,0,0,0,0
"KIBN","pct_deviation",0,0.00158,0.00391,0.00665,0.00586,0.00392,0.00324,0.00289
"KIBRE","pct_deviation",0,0.00027,0.00066,0.00125,-0.00099,-0.00689,-0.0119,-0.01469
"KID","pct_deviation",0,-0.00029,-0.00145,-0.00806,-0.03101,-0.04377,-0.04755,-0.04681
"KIDC","pct_deviation",0,0,0,0,0,0,0,0
"KV","pct_deviation",0,0.00018,0.00038,0.00077,0.00118,0.00134,0.0015,0.00167
"LE","pct_deviation",0.02455,0.05351,0.06608,0.06782,0.03698,0.02325,0.02008,0.01801
"LF","pct_deviation",0.00618,0.01378,0.0159,0.02056,0.02883,0.02149,0.01518,0.01243
"LHPP","pct_deviation",0,0,0,0,0,0,0,0
"LOKLAG","pct_deviation",0,0,0,0,0,0,0,0
"LPOP","pct_deviation",0,0,0,0,0,0,0,0
"LPR","pct_deviation",0.00618,0.01378,0.0159,0.02056,0.02883,0.02149,0.01518,0.01243
"LUR","ppt_deviation",-0.01738,-0.03762,-0.0476,-0.0449,-0.00772,-0.00166,-0.00461,-0.00523
"LURGAP","pct_deviation",380.40029,1582.52629,34.11897,20.51321,-5.09688,-0.28744,-0.42476,-0.35192
"M","pct_deviation",0.02835,0.05409,0.08591,0.10373,0.07868,0.06057,0.04853,0.03947
"N10R","ppt_deviation",0.00074,0.00275,0.00548,0.0105,0.01152,0.00826,0.00658,0.00584
"N2R","ppt_deviation",0.00211,0.00776,0.01524,0.02826,0.02776,0.01723,0.01271,0.01117
"NATS","pct_deviation",0,0,0,0,0,0,0,0
"NBR","ppt_deviation",0.02732,0.0767,0.10967,0.10832,0.01519,0.00401,0.01382,0.01589
"NBRSP","ppt_deviation",-0.00131,-0.00391,-0.00678,-0.01108,-0.00893,-0.00435,-0.00276,-0.00237
"NC","pct_deviation",0.00474,0.00761,0.01586,0.02356,0.00629,0.0067,0.01628,0.02344
"NCR","ppt_deviation",0.02864,0.08061,0.11645,0.11939,0.02413,0.00836,0.01659,0.01826
"NDFD","pct_deviation",0.18357,0.14478,0.14631,0.10965,0.0628,0.06347,0.06426,0.06531
"NDPFD","pct_deviation",0.00347,0.01406,0.0161,-0.01208,-0.03736,-0.0122,0.00772,0.0212
"NG","pct_deviation",0.74162,0.55985,0.56284,0.50126,0.40461,0.3205,0.26347,0.22103
"NGNE","pct_deviation",0.18356,0.14554,0.14639,0.10937,0.06255,0.06352,0.06437,0.06521
"NHA","pct_deviation",0.0096,0.00039,-0.03401,-0.16281,-0.35361,-0.31615,-0.25483,-0.20669
"NHC","pct_deviation",0,-0.00863,-0.0333,-0.11567,-0.28475,-0.38738,-0.43093,-0.43068
"NHCOE","pct_deviation",0.02455,0.0589,0.08084,0.10297,0.08922,0.07794,0.0777,0.07814
"NHDY","pct_deviation",0.00066,0.02361,0.03783,0.07968,0.10617,0.07807,0.06613,0.06532
"NHFA","pct_deviation",0.02464,0.03344,0.04336,0.05431,0.05844,0.05962,0.06111,0.06223
"NHL","pct_deviation",0.02565,0.00543,-0.01585,-0.09353,-0.24146,-0.32698,-0.36281,-0.36116
"NHNFA","pct_deviation",0,-0.02042,-0.08394,-0.30718,-0.6384,-0.59883,-0.48836,-0.40814
"NHNW","pct_deviation",0.0056,-0.00092,-0.03872,-0.18122,-0.38544,-0.31323,-0.22653,-0.16775
"NHOY","pct_deviation",-0.056,-0.06559,-0.07112,0.02231,0.15313,0.0784,0.03737,0.03475
"NHS","pct_deviation",-0.04935,0.29613,0.36364,0.71927,1.40699,0.98433,0.73444,0.66458
"NHSR","pct_deviation",-0.05007,0.27001,0.32178,0.63107,1.28888,0.89789,0.66133,0.59208
"NHWS","pct_deviation",-0.15551,-0.07378,-0.04788,0.0115,0.03915,0.02425,0.02311,0.02015
"NIB","pct_deviation",-3e-05,0.07127,0.10495,0.04541,-0.00967,0.00516,0.01007,0.01258
"NIBN","pct_deviation",-0.00029,0.09821,0.15147,0.06222,-0.01616,0.02179,0.02669,0.02232
"NIBRE","pct_deviation",0.00061,0.00769,0.01082,0.01049,-0.0021,-0.01116,-0.00978,-0.00177
"NID","pct_deviation",0,-0.02382,-0.09402,-0.34327,-0.49139,-0.22098,-0.06427,0.01762
"NM","pct_deviation",0.02669,0.02927,0.03578,0.02316,0.02439,0.02858,0.03581,0.03864
"NMR","ppt_deviation",0.02864,0.08061,0.11645,0.11939,0.02413,0.00836,0.01659,0.01826
"NOTC","pct_deviation",0,-0.15698,-0.45826,-0.85769,-0.6809,-0.32181,-0.1039,0.02699
"NSD","pct_deviation",0,0,0,0,0,0,0,0
"NSP","ppt_deviation",0,0,0,0,0,0,0,0
"NTWI","pct_deviation",0.00239,0.03499,0.06322,0.09402,0.05509,0.02869,0.00799,-0.00335
"NULC","pct_deviation",-0.15462,-0.07598,-0.0463,0.0219,0.0653,0.0529,0.05005,0.05057
"NULCBS","pct_deviation",-0.15449,-0.07578,-0.04607,0.02212,0.06531,0.05272,0.0497,0.05005
"NUSD","pct_deviation",0.00239,0.03499,0.06322,0.09402,0.05509,0.02869,0.00799,-0.00335
"NV","pct_deviation",0.00867,-0.02034,0.67625,0.03128,0.02542,-0.00791,0.02724,0.03001
"NX","pct_deviation",-0.00113,-0.02146,-0.03937,-0.06113,-0.03971,-0.02303,-0.0091,0.00059
"NXAG","pct_deviation",-0.00126,-0.01873,-0.03605,-0.06112,-0.05183,-0.03912,-0.02561,-0.01582
"NXM","pct_deviation",-0.00096,-0.01448,-0.03119,-0.05733,-0.05617,-0.04531,-0.03029,-0.01754
"NXO","pct_deviation",8e-04,-0.00467,-0.00919,-0.01189,-0.00155,0.00107,0.00273,0.00341
"NXRE","pct_deviation",-0.002,-0.02932,-0.05338,-0.08086,-0.05114,-0.02953,-0.01175,-0.0018
"NXS","pct_deviation",0.00051,-0.00614,-0.01077,-0.01197,0.00447,0.01331,0.02016,0.02543
"NY","pct_deviation",0.18034,0.13278,0.12878,0.09147,0.05005,0.05368,0.05458,0.05799
"NYEXCOE","pct_deviation",0.31897,0.19726,0.17125,0.08112,0.0136,0.0314,0.03373,0.03939
"OTC","pct_deviation",0,-0.15723,-0.45843,-0.85841,-0.68773,-0.33586,-0.12331,0.00305
"P","pct_deviation",0.00129,0.00028,0.00125,0.00667,0.01708,0.02139,0.02485,0.02868
"PAE","pct_deviation",0,0.00539,0.01475,0.03513,0.05222,0.05468,0.05761,0.06013
"PC","pct_deviation",0.00124,-0.00016,0.00049,0.00563,0.01673,0.02153,0.0253,0.02924
"PDFD","pct_deviation",0.00106,0.00121,0.00391,0.00931,0.02153,0.02553,0.02636,0.02873
"PDPFD","pct_deviation",9e-04,0.0016,0.00387,0.00823,0.02097,0.02547,0.02635,0.02842
