"variable","unit","h0","h1","h2","h4","h8","h12","h16","h20"
"ATS","pct_deviation",0,0,0,0,0,0,0,0
"DFD","pct_deviation",0.00056,-0.02551,-0.05548,0.02089,0.22521,0.2301,0.20281,0.14844
"DFDX","pct_deviation",-0.05952,-0.09388,-0.12707,-0.05463,0.14157,0.16105,0.13908,0.08276
"DPFD","pct_deviation",0.00073,-0.03164,-0.05657,0.04563,0.29027,0.29228,0.25436,0.18311
"G","pct_deviation",0,-0.00584,-0.05174,-0.05999,0.00144,0.01783,0.02137,0.02596
"GC","pct_deviation",0,-0.00419,-0.03749,-0.04872,-0.00401,0.01157,0.01702,0.02279
"GI","pct_deviation",0,-0.01092,-0.09548,-0.09679,0.02161,0.03979,0.03769,0.0396
"GNE","pct_deviation",0.00055,-0.02562,-0.05569,0.02039,0.22329,0.22998,0.20355,0.14824
"HCOE","pct_deviation",0.16147,0.10014,-0.03864,-0.15698,-0.02686,0.12417,0.17342,0.17189
"HDY","pct_deviation",0.18195,0.22649,0.20939,0.19795,-0.0301,0.00912,0.06792,0.10002
"HNW","pct_deviation",0.18941,0.24762,0.29751,0.80659,2.43733,2.64817,2.00989,1.23808
"HOY","pct_deviation",0.23051,0.54581,0.83762,1.0722,-0.03905,-0.28767,-0.19436,-0.07136
"IAD","pct_deviation",-0.08345,-0.16959,-0.29059,-0.33649,-0.34827,-0.26216,-0.09532,0.00694
"IB","pct_deviation",-0.09957,-0.34853,-0.64098,-0.80484,-1.19322,-1.08272,-0.52571,-0.10789
"IBCR","pct_deviation",-0.96191,-2.24056,-3.76872,-4.5875,-0.07478,0.87057,-0.00423,-0.07052
"IBCTR","pct_deviation",0,0,0,0,0,0,0,0
"IBN","pct_deviation",0,0.08526,0.21717,0.6211,1.25439,0.99689,0.87686,0.86778
"IBNDR","pct_deviation",0,0,0,0,0,0,0,0
"IBNDRA","pct_deviation",0,0,0,0,0,0,0,0
"IBRE","pct_deviation",-0.3228,-1.29451,-2.25997,-3.58873,-3.85033,-3.02611,-2.13167,-1.49939
"IBREDR","pct_deviation",0,0,0,0,0,0,0,0
"ID","pct_deviation",0,-0.00727,0.10896,1.14379,3.75685,2.48919,0.77732,-0.2537
"IDDR","pct_deviation",0,0,0,0,0,0,0,0
"KIBN","pct_deviation",0,0.00132,0.00449,0.02011,0.08332,0.13707,0.17316,0.20781
"KIBRE","pct_deviation",-0.01145,-0.05792,-0.14444,-0.39153,-1.07461,-1.56823,-1.72248,-1.72029
"KID","pct_deviation",0,-9e-05,0.00126,0.02101,0.16015,0.28889,0.33756,0.32409
"KIDC","pct_deviation",0,0,0,0,0,0,0,0
"KV","pct_deviation",0,-7e-05,-0.00067,-0.00233,-0.00422,-0.00411,-0.00323,-0.00237
"LE","pct_deviation",-0.04789,-0.16144,-0.29609,-0.39015,-0.23226,-0.08694,-0.03159,-0.01584
"LF","pct_deviation",-0.04101,-0.09279,-0.13229,-0.13783,-0.16689,-0.1348,-0.08481,-0.03989
"LHPP","pct_deviation",0,0,0,0,0,0,0,0
"LOKLAG","pct_deviation",0,0,0,0,0,0,0,0
"LPOP","pct_deviation",0,0,0,0,0,0,0,0
"LPR","pct_deviation",-0.04101,-0.09279,-0.13229,-0.13783,-0.16689,-0.1348,-0.08481,-0.03989
"LUR","ppt_deviation",0.00652,0.06507,0.15563,0.24011,0.06211,-0.04531,-0.05013,-0.02257
"LURGAP","pct_deviation",-142.64516,-2737.50436,-111.54512,-109.70835,40.98079,-7.85608,-4.62055,-1.51757
"M","pct_deviation",-0.02327,2.24365,2.24496,1.53104,0.81675,0.28183,0.08075,0.08001
"N10R","pct_deviation",-0.00695,-0.09871,-0.35972,-1.27198,-2.47921,-2.18743,-1.15562,-0.97936
"N2R","pct_deviation",-0.02519,-0.35665,-1.28425,-4.35956,-7.77991,-6.57968,-3.23494,-1.60089
"NATS","pct_deviation",0,0,0,0,0,0,0,0
"NBR","pct_deviation",-0.15368,-1.9222,-5.47883,-10.91544,-6.76926,-1.14265,1.2813,1.1429
"NBRSP","pct_deviation",0.01735,0.19804,0.59827,1.5698,1.78815,0.63467,-0.213,-0.48423
"NC","pct_deviation",-0.18487,-0.22449,-0.23663,-0.30195,-0.16466,-0.02876,-0.03035,-0.0924
"NCR","ppt_deviation",-0.01074,-0.14156,-0.41016,-0.85488,-0.5148,-0.07888,0.06705,0.05837
"NDFD","pct_deviation",-0.30566,-0.39349,-0.45433,-0.38923,-0.12329,-0.19835,-0.29481,-0.30004
"NDPFD","pct_deviation",-0.31535,-0.43545,-0.49308,-0.38403,-0.03211,-0.13029,-0.2613,-0.2729
"NG","pct_deviation",-0.27563,-0.26024,-0.33039,-0.40597,-0.43443,-0.42951,-0.41287,-0.39584
"NGNE","pct_deviation",-0.30573,-0.39449,-0.45458,-0.38926,-0.12595,-0.19815,-0.29394,-0.29996
"NHA","pct_deviation",-0.01603,-0.02489,0.01124,0.42996,1.84765,2.14385,1.68263,1.03463
"NHC","pct_deviation",0,0.00324,0.04688,0.38802,1.55821,2.34654,2.55459,2.32874
"NHCOE","pct_deviation",-0.04789,-0.16212,-0.31361,-0.4962,-0.46218,-0.32683,-0.26474,-0.2532
"NHDY","pct_deviation",-0.02745,-0.03611,-0.06626,-0.14248,-0.4654,-0.44137,-0.36978,-0.32476
"NHFA","pct_deviation",-0.04113,-0.07628,-0.11227,-0.16036,-0.15928,-0.16488,-0.20233,-0.2344
"NHL","pct_deviation",-7e-05,-0.06278,-0.0288,0.30151,1.34151,1.98802,2.13648,1.93188
"NHNFA","pct_deviation",0,0.00746,0.09094,0.82247,3.23471,3.88064,3.07594,1.98528
"NHNW","pct_deviation",-0.02001,-0.01504,0.02162,0.46409,1.99128,2.1858,1.56369,0.80847
"NHOY","pct_deviation",0.02101,0.28238,0.56024,0.7288,-0.47432,-0.73682,-0.63091,-0.49541
"NHS","pct_deviation",1.89837,2.66466,1.96195,1.27444,-4.56359,-5.66902,-4.81913,-3.5983
"NHSR","pct_deviation",1.92924,2.70558,2.03652,1.43342,-4.07331,-5.2099,-4.43105,-3.25162
"NHWS","pct_deviation",-0.04742,0.30301,0.30604,0.00108,-0.26533,-0.07109,0.09002,0.11417
"NIB","pct_deviation",-0.96544,-1.44801,-1.79461,-1.50414,-0.85269,-1.19016,-1.21565,-0.6401
"NIBN","pct_deviation",-1.1786,-1.42456,-1.44039,-0.34676,2.08263,1.13941,-0.07959,0.23207
"NIBRE","pct_deviation",-0.44721,-1.50335,-2.51138,-3.90755,-4.27311,-3.47634,-2.57141,-1.92478
"NID","pct_deviation",0,-0.02789,0.04757,0.96166,3.28383,1.8422,0.12908,-0.79855
"NM","pct_deviation",-6.68877,-5.17526,-4.06997,-3.26489,-1.4656,-0.71706,-0.52822,-0.45333
"NMR","pct_deviation",-0.15972,-1.93706,-5.54841,-10.97256,-6.99333,-1.22585,1.13207,1.01431
"NOTC","pct_deviation",0,0.01731,0.66873,3.71874,5.22943,2.76848,0.25623,-1.2078
"NSD","pct_deviation",0,0,0,0,0,0,0,0
"NSP","pct_deviation",0,0,0,0,0,0,0,0
"NTWI","pct_deviation",10.39737,8.727,7.26432,5.15706,2.01078,0.67888,0.40155,0.41938
"NULC","pct_deviation",0.01933,0.41488,0.29382,-0.10509,-0.45112,-0.46261,-0.41664,-0.33661
"NULCBS","pct_deviation",0.01932,0.41452,0.29322,-0.10566,-0.45045,-0.46039,-0.41297,-0.3317
"NUSD","pct_deviation",10.39737,8.727,7.26432,5.15706,2.01078,0.67888,0.40155,0.41938
"NV","pct_deviation",-1.457,-0.1756,-2.05561,-0.39497,-0.5215,-0.53943,-0.59419,-0.2725
"NX","pct_deviation",-5.55761,-5.30938,-4.63251,-3.68738,-1.92046,-1.02571,-0.79366,-0.7822
"NXAG","pct_deviation",-5.09587,-4.9807,-4.73801,-4.17497,-2.47677,-1.49283,-1.05739,-0.89565
"NXM","pct_deviation",-3.89784,-4.82294,-4.66425,-4.36145,-3.08905,-1.95531,-1.30755,-0.97947
"NXO","pct_deviation",-1.37406,-1.72172,-1.619,-1.22385,-0.79838,-0.51415,-0.37981,-0.31093
"NXRE","pct_deviation",-7.94852,-6.88434,-5.91412,-4.45743,-2.07006,-0.98352,-0.79284,-0.89341
"NXS","pct_deviation",-1.87908,-1.67785,-1.45296,-1.14775,-0.687,-0.46726,-0.40935,-0.40382
"NY","pct_deviation",-0.00047,-0.46373,-0.61775,-0.49728,-0.19738,-0.25592,-0.35445,-0.36695
"NYEXCOE","pct_deviation",0.04173,-0.72699,-0.88719,-0.49825,0.04901,-0.19081,-0.43533,-0.47188
"OTC","pct_deviation",0,0.05902,0.75501,3.88441,5.54088,3.16511,0.6794,-0.78425
"P","pct_deviation",-0.08581,-0.1736,-0.21561,-0.31597,-0.4605,-0.49046,-0.4749,-0.45524
"PAE","pct_deviation",0,-0.00069,-0.01757,-0.10647,-0.23046,-0.24011,-0.23323,-0.23739
"PC","pct_deviation",-0.20902,-0.26201,-0.27507,-0.33976,-0.43543,-0.45045,-0.4374,-0.42435
"PDFD","pct_deviation",-0.30621,-0.36807,-0.39907,-0.41004,-0.34772,-0.42747,-0.49662,-0.44781
"PDPFD","pct_deviation",-0.31608,-0.40394,-0.43675,-0.42947,-0.32145,-0.42134,-0.51436,-0.45518
"PEX","pct_deviation",-5e-04,-0.04833,-0.11098,-0.24387,-0.43612,-0.48584,-0.47445,-0.45488
"PG","pct_deviation",-0.27563,-0.25442,-0.27879,-0.3462,-0.43586,-0.44726,-0.43415,-0.4217
"PGNE","pct_deviation",-0.30628,-0.36896,-0.3991,-0.40956,-0.34846,-0.42714,-0.49648,-0.44754
"PH","pct_deviation",0,0.00755,0.08968,0.8013,3.06964,3.5814,2.72917,1.65582
"PI_E","pct_deviation",0,0,0,0,0,0,0,0
"PIAD","pct_deviation",-1.2196,-1.23945,-1.14895,-0.90257,-0.38827,-0.40554,-0.53669,-0.47399
"PIB","pct_deviation",-0.86673,-1.10333,-1.16107,-0.70497,0.34465,-0.10862,-0.69359,-0.53279
"PIBN","pct_deviation",-1.1786,-1.50853,-1.65398,-0.96188,0.81798,0.14112,-0.94813,-0.63025
"PIBRE","pct_deviation",-0.12482,-0.21157,-0.25722,-0.33068,-0.43971,-0.46428,-0.44931,-0.43186
"PID","pct_deviation",0,-0.02062,-0.06133,-0.18007,-0.45589,-0.63127,-0.64324,-0.54624
