"scenario","scenario_label","variable","offset_q","quarter","baseline","scenario_value","deviation","unit"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","ATS",0,"2010Q1",1686,1686,0,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","ATS",1,"2010Q2",1680,1680,0,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","ATS",2,"2010Q3",1488,1488,0,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","ATS",4,"2011Q1",1591,1591,0,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","ATS",8,"2012Q1",1851,1851,0,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","ATS",12,"2013Q1",2390,2390,0,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","ATS",16,"2014Q1",2189,2189,0,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","ATS",20,"2015Q1",2283,2283,0,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DFD",0,"2010Q1",379626.376131775,379626.450677859,1.96366976901174e-05,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DFD",1,"2010Q2",383239.128512141,382389.131597926,-0.221792831414525,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DFD",2,"2010Q3",385673.102374258,384444.444337895,-0.31857498715846,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DFD",4,"2011Q1",395851.807337693,394192.173413094,-0.419256371661147,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DFD",8,"2012Q1",415664.201014579,414780.91934008,-0.212498856611465,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DFD",12,"2013Q1",421182.069899771,420816.625320763,-0.0867664141294133,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DFD",16,"2014Q1",426057.651474415,425819.807161647,-0.055824443463115,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DFD",20,"2015Q1",429579.046439796,429364.200577092,-0.0500131150448779,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DFDX",0,"2010Q1",451785.638407036,451775.473111299,-0.0022500263116676,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DFDX",1,"2010Q2",456668.266294483,455798.63403273,-0.190429755237742,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DFDX",2,"2010Q3",457981.126336909,456725.51632034,-0.274161956544272,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DFDX",4,"2011Q1",465570.739474676,463881.93174131,-0.362739233842735,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DFDX",8,"2012Q1",488564.117112281,487660.571831588,-0.184938936169421,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DFDX",12,"2013Q1",497905.621175744,497529.692177661,-0.0755020594454203,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DFDX",16,"2014Q1",509380.30130588,509133.788561485,-0.0483946363380894,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DFDX",20,"2015Q1",519194.697654461,518964.521245823,-0.044333351183623,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DPFD",0,"2010Q1",287413.536840112,287413.611386196,2.59368729160769e-05,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DPFD",1,"2010Q2",292069.24371662,291219.449188553,-0.290956527039299,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DPFD",2,"2010Q3",294719.286944119,293510.081656919,-0.410290517372747,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DPFD",4,"2011Q1",303058.204787925,301442.355785216,-0.533181077819689,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DPFD",8,"2012Q1",322039.304242031,321194.334416948,-0.262380962184661,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DPFD",12,"2013Q1",325816.595978211,325480.463615024,-0.103166126997878,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DPFD",16,"2014Q1",331821.526549044,331615.57586469,-0.0620667038983447,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","DPFD",20,"2015Q1",334840.777678285,334660.431144014,-0.0538603856798603,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","G",0,"2010Q1",92634.8392916627,92634.8392916627,0,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","G",1,"2010Q2",91656.884795521,91656.6824093733,-0.000220808451067978,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","G",2,"2010Q3",91314.8154301384,91295.3626809763,-0.0213029496588191,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","G",4,"2011Q1",92685.6025497673,92641.8176278775,-0.0472402624412616,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","G",8,"2012Q1",92735.8967725481,92697.584923132,-0.0413128580727284,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","G",12,"2013Q1",94518.4739215605,94489.1617057394,-0.03101215519562,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","G",16,"2014Q1",93807.1249253708,93775.2312969574,-0.0339991535172057,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","G",20,"2015Q1",94537.2687615118,94502.7694330781,-0.0364928338692838,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GC",0,"2010Q1",68205.0875929075,68205.0875929075,0,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GC",1,"2010Q2",69164.1030048225,69163.9934752342,-0.000158361901025916,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GC",2,"2010Q3",68868.0739782186,68857.5463682118,-0.0152866334117707,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GC",4,"2011Q1",70966.9392676794,70940.6874984361,-0.0369915477745231,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GC",8,"2012Q1",72999.0956370438,72971.8070072437,-0.0373821477676839,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GC",12,"2013Q1",73546.8533652089,73524.5573010359,-0.0303154562742325,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GC",16,"2014Q1",74059.5910685064,74035.171694984,-0.0329726010771636,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GC",20,"2015Q1",76677.6234861404,76650.3889823973,-0.0355181896685375,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GI",0,"2010Q1",24429.7516987553,24429.7516987553,0,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GI",1,"2010Q2",22492.7817906984,22492.6889341392,-0.000412828258100628,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GI",2,"2010Q3",22446.7414519198,22437.8163127645,-0.039761402226024,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GI",4,"2011Q1",21718.6632820878,21701.1301294414,-0.0807285071771302,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GI",8,"2012Q1",19736.8011355043,19725.7779158883,-0.0558510953235336,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GI",12,"2013Q1",20971.6205563516,20964.6044047035,-0.033455457718401,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GI",16,"2014Q1",19747.5338568644,19740.0596019733,-0.0378490546983024,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GI",20,"2015Q1",17859.6452753714,17852.3804506808,-0.0406773179341013,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GNE",0,"2010Q1",380164.375627483,380164.450173567,1.96089082971085e-05,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GNE",1,"2010Q2",382002.127712802,381152.125870253,-0.222512331970015,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GNE",2,"2010Q3",386302.099587629,385072.965668044,-0.31817945615531,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GNE",4,"2011Q1",397549.806832702,395889.039709264,-0.417750705671105,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GNE",8,"2012Q1",418986.193159613,418101.830495973,-0.211072030076032,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GNE",12,"2013Q1",421544.060326971,421178.274363589,-0.0867728899082598,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GNE",16,"2014Q1",424764.646030898,424526.752915751,-0.0560058652172901,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","GNE",20,"2015Q1",430389.040981619,430174.056475382,-0.0499512036242322,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HCOE",0,"2010Q1",1772.26656850749,1772.37362565026,0.00604069075575975,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HCOE",1,"2010Q2",1810.76285388974,1810.44175455602,-0.0177328208955663,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HCOE",2,"2010Q3",1848.92134004178,1847.39336629882,-0.0826413601199949,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HCOE",4,"2011Q1",1900.89485013957,1896.67876101828,-0.221794967826816,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HCOE",8,"2012Q1",1992.79803600531,1987.02553063782,-0.28966835892017,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HCOE",12,"2013Q1",1985.06963417665,1981.11023132823,-0.199459141395042,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HCOE",16,"2014Q1",2009.69275253223,2006.9201315476,-0.13796243137848,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HCOE",20,"2015Q1",2033.72442738002,2031.53819335461,-0.107499029660973,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HDY",0,"2010Q1",2519.54629474242,2505.24189365478,-0.567737180201189,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HDY",1,"2010Q2",2527.25795851364,2521.29107232654,-0.236101192875593,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HDY",2,"2010Q3",2578.88499826862,2576.83762917489,-0.0793897011730493,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HDY",4,"2011Q1",2672.63253996538,2672.64866089751,0.000603185506853343,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HDY",8,"2012Q1",2712.49217755401,2707.32844479935,-0.190368576816125,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HDY",12,"2013Q1",2754.60048827754,2749.20239502295,-0.195966466917996,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HDY",16,"2014Q1",2818.02809235437,2814.5693097227,-0.122737691687747,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HDY",20,"2015Q1",2886.57216460783,2884.35866082476,-0.0766827800186998,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HNW",0,"2010Q1",69.5009679985695,69.5058873191311,0.0070780604979781,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HNW",1,"2010Q2",67.7578037942794,67.4359543783945,-0.474999775468121,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HNW",2,"2010Q3",68.658763146001,68.015896026949,-0.936322021538527,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HNW",4,"2011Q1",68.3776116345413,67.4000118711414,-1.42970738525484,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HNW",8,"2012Q1",65.582663658875,65.0469771414155,-0.816811162544262,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HNW",12,"2013Q1",69.5796220511106,69.5283523776504,-0.0736848978895144,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HNW",16,"2014Q1",73.8712880696211,73.9434969221412,0.0977495511545357,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HNW",20,"2015Q1",80.9858444100603,81.0493667998797,0.0784364110568481,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HOY",0,"2010Q1",747.279726234925,732.868268004519,-1.92852257654781,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HOY",1,"2010Q2",716.495104623892,710.849317770521,-0.787972844048146,"pct_deviation"
"monetary_100bp","Monetary policy: +100bp cash rate (1 quarter)","HOY",2,"2010Q3",729.963658226835,729.444262876072,-0.071153590306694,"pct_deviation"
